,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,total_charges_per_month,tenure_totalcharges,blend10,blend3,pred10,pred3,profit10,profit3,training_data,profit_without_model
854,9524-egpjc,female,0,no,no,18,yes,yes,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,electronic_check,90.1,1612.75,1,17.89955604883463,2600962.5625,0.7857140776529671,0.74662438239218,1,1,4000,4000,Yes,-5000
855,9881-vczep,female,0,yes,no,25,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,electronic_check,54.1,1373.0,0,25.378927911275415,1885129.0,0.5948104907922517,0.5208625376074689,1,1,-1000,-1000,Yes,5000
856,1098-kfqec,female,0,yes,yes,55,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.4,1083.0,0,55.82474226804124,1172889.0,0.004521573367109807,0.005061207821645776,0,0,5000,5000,Yes,5000
857,6981-tdrft,male,0,yes,yes,44,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,54.3,2317.1,0,42.67219152854512,5368952.409999999,0.07224016998618357,0.08142339953900155,0,0,5000,5000,Yes,5000
858,3814-mlaxc,female,0,no,no,31,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,yes,credit_card_(automatic),79.85,2404.15,1,30.108328115216032,5779937.2225,0.6760365067485612,0.6090821928120924,1,1,4000,4000,Yes,-5000
859,1813-jywto,female,0,yes,no,72,yes,yes,fiber_optic,yes,no,no,no,no,no,two_year,no,bank_transfer_(automatic),80.45,5737.6,0,71.31883157240522,32920053.760000005,0.015962642184824998,0.02020322225334782,0,0,5000,5000,Yes,5000
860,1270-xkucc,female,0,yes,yes,30,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.7,599.25,0,30.418781725888326,359100.5625,0.008404197838284227,0.010564734265310762,0,0,5000,5000,Yes,5000
861,8495-ljdfo,female,1,no,no,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),108.95,7111.3,0,65.27122533272143,50570587.690000005,0.5248048874980098,0.45951823513759416,1,0,-1000,5000,Yes,5000
862,2530-endwq,female,0,yes,no,71,yes,yes,fiber_optic,no,no,no,no,yes,yes,two_year,yes,bank_transfer_(automatic),93.7,6585.35,1,70.28121664887941,43366834.6225,0.07471478456660807,0.09223722180320582,0,0,-5000,-5000,Yes,-5000
863,7389-kbfit,female,0,yes,yes,2,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,30.25,63.75,0,2.1074380165289255,4064.0625,0.7243978352024258,0.674746376360819,1,1,-1000,-1000,Yes,5000
864,9762-yaqaa,male,0,no,no,39,yes,yes,fiber_optic,no,yes,no,no,no,no,one_year,no,credit_card_(automatic),81.4,3213.75,0,39.48095823095823,10328189.0625,0.49440862890350135,0.43063931445394366,0,0,5000,5000,Yes,5000
865,4840-orqxb,female,1,no,no,56,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic_check,104.75,5841.35,0,55.76467780429595,34121369.822500005,0.6717669012049658,0.6085874650837143,1,1,-1000,-1000,Yes,5000
866,5707-zmdjp,male,0,yes,yes,53,yes,no,dsl,yes,yes,no,yes,yes,no,two_year,yes,mailed_check,69.7,3729.6,0,53.50932568149211,13909916.16,0.008093417227849682,0.009904790027581465,0,0,5000,5000,Yes,5000
867,1432-fpaxx,female,0,no,no,29,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,30.6,856.35,1,27.985294117647058,733335.3225,0.65035267992599,0.5768972399394278,1,1,4000,4000,Yes,-5000
868,3663-mitlp,female,0,no,no,15,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,101.25,1457.25,1,14.392592592592592,2123577.5625,0.8218205428550163,0.7860260145808019,1,1,4000,4000,Yes,-5000
869,2439-lypmq,male,1,yes,no,38,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,102.6,4009.2,0,39.07602339181287,16073684.639999999,0.8010590193795806,0.7612064560061409,1,1,-1000,-1000,Yes,5000
870,7446-ypode,male,1,no,no,11,yes,yes,dsl,yes,yes,no,no,no,no,month-to-month,no,bank_transfer_(automatic),60.25,662.95,0,11.003319502074689,439502.7025000001,0.6049207885479199,0.531477270471256,1,1,-1000,-1000,Yes,5000
871,3440-jpscl,female,0,no,no,6,yes,no,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,mailed_check,99.95,547.65,1,5.4792396198099045,299920.52249999996,0.8149695901024675,0.7671269844459645,1,1,4000,4000,Yes,-5000
872,4720-vstsi,female,0,no,no,44,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),84.8,3862.55,1,45.54893867924529,14919292.502500001,0.6293258222147814,0.5589195946809552,1,1,4000,4000,Yes,-5000
873,0925-vydlg,female,0,no,no,3,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.25,242.0,1,3.215946843853821,58564.0,0.8266226127784038,0.7968969878040962,1,1,4000,4000,Yes,-5000
874,7722-vjrqd,male,0,yes,yes,72,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),60.95,4549.05,0,74.6357670221493,20693855.9025,0.004498396792738478,0.00543692424314802,0,0,5000,5000,Yes,5000
875,7595-ehcdl,male,0,yes,yes,32,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,no,credit_card_(automatic),50.6,1653.45,0,32.676877470355734,2733896.9025000003,0.2648478124798852,0.24441305612414002,0,0,5000,5000,Yes,5000
876,8775-lhdjh,female,1,yes,no,1,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,90.6,90.6,1,1.0,8208.359999999999,0.9149769655013178,0.8963855072704998,1,1,4000,4000,Yes,-5000
877,7997-eassd,female,0,yes,no,63,yes,yes,fiber_optic,no,no,no,yes,no,no,one_year,yes,credit_card_(automatic),81.2,4965.1,0,61.146551724137936,24652218.010000005,0.14269962695654928,0.13001552093353683,0,0,5000,5000,Yes,5000
878,5699-bncas,male,1,no,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,24.65,1766.75,0,71.67342799188641,3121405.5625,0.0030123552706448403,0.0036319883590024997,0,0,5000,5000,Yes,5000
879,2192-ckrlv,female,0,yes,no,72,no,no_phone_service,dsl,yes,yes,yes,no,no,yes,two_year,yes,electronic_check,49.2,3580.95,0,72.78353658536585,12823202.902499998,0.009076585160935834,0.011166071182300093,0,0,5000,5000,Yes,5000
880,7356-iwlfw,male,0,yes,yes,46,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),80.0,3769.7,0,47.121249999999996,14210638.089999998,0.6061777644248416,0.5318184233985769,1,1,-1000,-1000,Yes,5000
881,0887-hjgar,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,45.7,45.7,1,1.0,2088.4900000000002,0.7649390379073074,0.7126361156305969,1,1,4000,4000,Yes,-5000
882,5970-ghjaw,male,0,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.95,862.4,0,43.228070175438596,743733.76,0.004174468474662887,0.005063855668970533,0,0,5000,5000,Yes,5000
883,0237-yfutl,female,0,yes,no,50,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),109.65,5405.8,0,49.30050159598723,29222673.64,0.43776393134589126,0.40045702933784394,0,0,5000,5000,Yes,5000
884,7271-ajdtl,female,0,yes,no,55,yes,yes,fiber_optic,no,yes,yes,no,yes,no,month-to-month,yes,credit_card_(automatic),94.45,5073.1,0,53.71201694017999,25736343.610000003,0.607766954047912,0.5337710353533444,1,1,-1000,-1000,Yes,5000
885,7240-fqlhe,female,1,yes,no,18,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,no,bank_transfer_(automatic),99.75,1836.25,1,18.408521303258144,3371814.0625,0.7848356336861646,0.7366745263614792,1,1,4000,4000,Yes,-5000
886,5980-noplp,female,0,yes,no,44,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,96.1,4364.1,1,45.412070759625394,19045368.810000002,0.8036449717059478,0.7617783997907492,1,1,4000,4000,Yes,-5000
887,9681-oxgvc,female,0,no,no,5,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,100.5,514.0,1,5.114427860696518,264196.0,0.9231531634793019,0.9035649602586757,1,1,4000,4000,Yes,-5000
888,8749-tzyec,male,0,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),24.8,1874.3,0,75.57661290322581,3513000.4899999998,0.0019546265823475514,0.0023232251369191444,0,0,5000,5000,Yes,5000
889,3049-ndxfl,female,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,mailed_check,85.8,85.8,1,1.0,7361.639999999999,0.8811248086279694,0.8475678045804556,1,1,4000,4000,Yes,-5000
890,1448-pwkye,male,0,yes,yes,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,no,electronic_check,80.0,80.0,1,1.0,6400.0,0.8743653311964332,0.8397708349128546,1,1,4000,4000,Yes,-5000
891,1187-wilmm,male,0,yes,yes,63,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),89.4,5597.65,0,62.613534675615206,31333685.522499997,0.009860496895911924,0.012624694215085028,0,0,5000,5000,Yes,5000
892,7503-qqrvf,male,1,yes,no,16,yes,no,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),74.3,1178.25,1,15.858008075370122,1388273.0625,0.7824713768153143,0.7335393795906003,1,1,4000,4000,Yes,-5000
893,6729-gdngc,female,1,no,no,20,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,no,bank_transfer_(automatic),80.7,1614.2,0,20.00247831474597,2605641.64,0.6885014038925762,0.6351052119465467,1,1,-1000,-1000,Yes,5000
894,1031-iideo,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.85,70.85,1,1.0,5019.722499999999,0.8908592975225125,0.8648321735842173,1,1,4000,4000,Yes,-5000
895,8125-qpfjd,female,0,yes,no,72,yes,yes,dsl,yes,no,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),84.9,6065.3,0,71.44051825677268,36787864.09,0.010298932710614092,0.01300968078172036,0,0,5000,5000,Yes,5000
896,0257-zesqc,female,1,yes,no,27,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),75.2,1929.35,1,25.656249999999996,3722391.4225,0.6650445511594214,0.5989301151041858,1,1,4000,4000,Yes,-5000
897,3639-xjhkq,female,0,no,yes,19,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,yes,electronic_check,60.6,1297.8,0,21.415841584158414,1684284.8399999999,0.5823682416894064,0.5036901493924874,1,1,-1000,-1000,Yes,5000
898,9210-iahgh,female,0,no,no,7,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),70.75,450.8,1,6.371731448763251,203220.64,0.683125690475782,0.6225571650789662,1,1,4000,4000,Yes,-5000
899,3213-vvolg,male,0,yes,yes,0,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,25.35,0.0,0,0.0,0.0,0.05361645766583188,0.06851501898010234,0,0,5000,5000,Yes,5000
900,0430-ihcdj,male,0,no,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,49.0,749.25,0,15.290816326530612,561375.5625,0.7652363645779017,0.7146672922684749,1,1,-1000,-1000,Yes,5000
901,2958-nhpps,male,0,no,no,23,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,20.85,473.9,0,22.729016786570742,224581.21,0.036993501863672396,0.046310013284284385,0,0,5000,5000,Yes,5000
902,1569-ttnyj,male,0,yes,no,5,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,78.75,412.1,1,5.233015873015873,169826.41000000003,0.8659164957896883,0.8389305533615485,1,1,4000,4000,Yes,-5000
903,2832-kjcrd,female,0,no,no,38,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic_check,103.65,3988.5,0,38.480463096960925,15908132.25,0.7359412535755846,0.6839288627912745,1,1,-1000,-1000,Yes,5000
904,1699-tldlz,female,0,yes,yes,16,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.7,301.55,0,15.307106598984772,90932.40250000001,0.01833388766578333,0.023133238068906138,0,0,5000,5000,Yes,5000
905,1309-xgfsn,male,1,yes,yes,52,yes,yes,dsl,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,80.85,4079.55,0,50.458256029684605,16642728.2025,0.2137488258585479,0.20002975272390447,0,0,5000,5000,Yes,5000
906,6898-rbtlu,female,0,yes,yes,49,yes,yes,dsl,no,yes,no,yes,yes,yes,two_year,no,bank_transfer_(automatic),79.3,3902.45,0,49.21122320302648,15229116.0025,0.022596383627720967,0.027444588090981863,0,0,5000,5000,Yes,5000
907,2778-oclgr,male,1,yes,no,24,no,no_phone_service,dsl,yes,no,no,no,no,yes,month-to-month,no,bank_transfer_(automatic),39.1,971.3,1,24.841432225063937,943423.69,0.6565236218141178,0.5847416957034375,1,1,4000,4000,Yes,-5000
908,2474-lcnue,female,0,yes,no,23,yes,yes,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),73.65,1642.75,0,22.304820095044125,2698627.5625,0.6272305775955517,0.5591617575334362,1,1,-1000,-1000,Yes,5000
909,2533-qvmsk,male,0,yes,no,61,yes,yes,fiber_optic,no,yes,no,yes,yes,no,two_year,yes,electronic_check,94.1,5638.3,1,59.91817215727949,31790426.89,0.06534864775577069,0.07970071470848825,0,0,-5000,-5000,Yes,-5000
910,0362-raoqo,female,0,no,no,40,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.65,830.25,0,42.25190839694657,689315.0625,0.007394733436519087,0.008966991342055652,0,0,5000,5000,Yes,5000
911,2839-rfsqe,female,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.65,38.7,1,1.8740920096852303,1497.6900000000003,0.08995835851744145,0.10866714868918619,0,0,-5000,-5000,Yes,-5000
912,8166-zztfs,female,1,yes,no,66,yes,yes,dsl,no,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),80.55,5265.1,1,65.36436995654873,27721278.010000005,0.03534637374419464,0.04303662645373212,0,0,-5000,-5000,Yes,-5000
913,5103-mhmhy,female,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,45.95,45.95,1,1.0,2111.4025,0.7291344611017755,0.6631234627676266,1,1,4000,4000,Yes,-5000
914,9688-ygxvr,female,0,no,no,44,yes,no,fiber_optic,no,yes,yes,no,yes,no,month-to-month,yes,credit_card_(automatic),88.15,3973.2,0,45.073170731707314,15786318.239999998,0.6043582962939004,0.5306018045375853,1,1,-1000,-1000,Yes,5000
915,1703-mgiab,female,0,no,no,17,yes,yes,dsl,no,no,yes,yes,yes,no,month-to-month,yes,mailed_check,69.0,1108.0,0,16.057971014492754,1227664.0,0.631015591944489,0.5580576642385361,1,1,-1000,-1000,Yes,5000
916,8990-yozlv,female,0,no,no,69,yes,yes,dsl,yes,yes,no,yes,no,no,two_year,yes,mailed_check,66.9,4577.9,0,68.42899850523168,20957168.409999996,0.0061415164626440755,0.007380081708218456,0,0,5000,5000,Yes,5000
917,8191-xwszg,female,0,no,no,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.65,1022.95,0,49.53753026634383,1046426.7025000001,0.005754102685179927,0.0065191632137772074,0,0,5000,5000,Yes,5000
918,9348-yvomk,male,0,no,no,4,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),44.8,176.2,0,3.9330357142857144,31046.439999999995,0.7418645120048862,0.6878550685056114,1,1,-1000,-1000,Yes,5000
919,4779-zgick,male,0,yes,yes,48,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,23.55,1173.35,0,49.82377919320594,1376750.2224999997,0.004929217828448592,0.006000178995559431,0,0,5000,5000,Yes,5000
920,3143-jqegi,female,0,yes,yes,13,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,electronic_check,88.35,1222.8,1,13.840407470288625,1495239.8399999999,0.8000415523224602,0.75935642838368,1,1,4000,4000,Yes,-5000
921,2212-lyask,male,0,yes,yes,27,no,no_phone_service,dsl,no,yes,yes,no,no,yes,one_year,yes,credit_card_(automatic),45.85,1246.4,0,27.184296619411125,1553512.9600000002,0.07563293833951246,0.09129092870477877,0,0,5000,5000,Yes,5000
922,5568-dmxzs,female,0,no,no,8,yes,no,dsl,no,yes,no,yes,yes,no,month-to-month,yes,electronic_check,65.45,554.45,0,8.47135217723453,307414.80250000005,0.6364743390087034,0.5745904778550943,1,1,-1000,-1000,Yes,5000
923,4829-zljtk,female,1,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,electronic_check,112.4,8046.85,0,71.5911921708185,64751794.92250001,0.06883146797245177,0.08893316138256709,0,0,5000,5000,Yes,5000
924,4832-vrbmr,male,1,yes,no,65,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),103.15,6792.45,0,65.85021812893844,46137377.0025,0.23006379256515946,0.23257360474324187,0,0,5000,5000,Yes,5000
925,5294-cdgwy,male,0,yes,yes,51,no,no_phone_service,dsl,yes,yes,yes,no,yes,yes,one_year,no,electronic_check,59.3,3014.65,1,50.837268128161895,9088114.6225,0.04967522864720443,0.054167236365824704,0,0,-5000,-5000,Yes,-5000
926,1790-nesio,female,0,no,no,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.4,261.3,0,12.808823529411766,68277.69,0.03182943685731388,0.04167453837345942,0,0,5000,5000,Yes,5000
927,4143-hhpmk,male,0,no,no,52,yes,no,fiber_optic,no,yes,no,no,no,yes,month-to-month,yes,electronic_check,85.35,4338.6,1,50.833040421792624,18823449.960000005,0.6715643735240582,0.6011961887569978,1,1,4000,4000,Yes,-5000
928,7100-fqprv,male,0,yes,yes,43,yes,yes,dsl,yes,no,no,yes,no,yes,one_year,yes,credit_card_(automatic),71.9,3173.35,0,44.1356050069541,10070150.2225,0.04643194839308618,0.052297056782366284,0,0,5000,5000,Yes,5000
929,5949-xikae,female,0,yes,yes,8,yes,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,83.55,680.05,1,8.139437462597247,462468.00249999994,0.8197428412068045,0.7830479618971576,1,1,4000,4000,Yes,-5000
930,3472-qprch,male,0,yes,yes,40,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.25,1006.9,0,39.877227722772275,1013847.61,0.0075159733463818846,0.009389380299080732,0,0,5000,5000,Yes,5000
931,3308-dghkl,male,0,no,no,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),19.3,1447.9,0,75.02072538860104,2096414.4100000001,0.003349668532169507,0.0037844391321900646,0,0,5000,5000,Yes,5000
932,2877-vduer,female,0,yes,yes,35,no,no_phone_service,dsl,no,no,no,yes,yes,no,one_year,no,mailed_check,40.9,1383.6,0,33.82885085574572,1914348.9599999997,0.024169430596744215,0.02943349342619712,0,0,5000,5000,Yes,5000
933,7596-iiwyc,female,0,no,no,27,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),20.25,538.2,0,26.57777777777778,289659.24000000005,0.017756138837447515,0.022775040687425505,0,0,5000,5000,Yes,5000
934,4006-hkyho,male,0,no,no,63,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),86.7,5309.5,0,61.239907727797,28190790.25,0.00837798928960895,0.010637148909202903,0,0,5000,5000,Yes,5000
935,4976-lnfvv,male,1,yes,no,19,no,no_phone_service,dsl,no,yes,yes,no,no,no,month-to-month,yes,credit_card_(automatic),34.3,577.15,0,16.8265306122449,333102.1225,0.6572780247448967,0.5889234731689241,1,1,-1000,-1000,Yes,5000
936,1991-vopll,female,0,no,no,9,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.05,157.65,0,8.275590551181102,24853.522500000003,0.0572989326962586,0.07033215907838127,0,0,5000,5000,Yes,5000
937,2262-slnvk,female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,70.1,70.1,0,1.0,4914.009999999999,0.8552372825290718,0.8204318831505492,1,1,-1000,-1000,Yes,5000
938,3722-wpxtk,male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,88.35,88.35,1,1.0,7805.722499999999,0.916352647145692,0.8956483501337607,1,1,4000,4000,Yes,-5000
939,3714-xpxbw,female,0,no,no,37,yes,yes,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,credit_card_(automatic),78.9,2976.95,0,37.73067173637515,8862231.302499998,0.28941602066064803,0.2582885819497244,0,0,5000,5000,Yes,5000
940,0486-heczi,male,0,yes,no,55,yes,yes,fiber_optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic_check,96.75,5238.9,1,54.14883720930232,27446073.209999997,0.6551428420080353,0.5825573375879902,1,1,4000,4000,Yes,-5000
941,3486-npgst,female,0,no,no,36,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.55,620.75,0,31.751918158567772,385330.5625,0.008855471777277663,0.010749094521056081,0,0,5000,5000,Yes,5000
942,8232-ctlko,female,0,yes,yes,66,yes,no,dsl,yes,no,no,no,yes,no,two_year,yes,electronic_check,59.75,3996.8,0,66.89205020920502,15974410.240000002,0.012375642507616535,0.015070078611269976,0,0,5000,5000,Yes,5000
943,4589-iuajb,male,0,yes,no,70,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.25,1724.15,0,71.09896907216495,2972693.2225,0.0024491970304832155,0.002855364418139755,0,0,5000,5000,Yes,5000
944,9494-mrnyx,male,0,no,no,10,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.05,786.3,0,10.477015323117921,618267.69,0.7812274530498163,0.7450121452779439,1,1,-1000,-1000,Yes,5000
945,2927-qrrqv,male,0,yes,no,46,yes,yes,fiber_optic,no,yes,yes,no,yes,no,one_year,yes,electronic_check,94.65,4312.5,0,45.562599049128366,18597656.25,0.607273508133851,0.5429056464757818,1,1,-1000,-1000,Yes,5000
946,8937-rdthp,male,0,no,no,1,yes,no,fiber_optic,yes,no,no,no,no,yes,month-to-month,yes,mailed_check,84.6,84.6,1,1.0,7157.159999999999,0.8093223255660975,0.766550533324303,1,1,4000,4000,Yes,-5000
947,7321-pkuyw,female,0,no,no,11,yes,yes,fiber_optic,no,no,no,yes,yes,no,month-to-month,no,electronic_check,90.15,987.95,1,10.958957293399889,976045.2025000001,0.8047072527340289,0.7597658092833124,1,1,4000,4000,Yes,-5000
948,4937-qpzpo,male,0,yes,yes,61,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,electronic_check,99.9,6241.35,0,62.47597597597598,38954449.822500005,0.4112183989320528,0.39294987505461626,0,0,5000,5000,Yes,5000
949,6990-ynrio,male,0,yes,yes,65,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),108.65,6937.95,1,63.855959502991254,48135150.2025,0.045960976946514784,0.05182399785914894,0,0,-5000,-5000,Yes,-5000
950,5429-lwcmv,female,0,no,no,12,yes,yes,fiber_optic,no,yes,no,no,no,yes,month-to-month,yes,electronic_check,89.15,1057.55,0,11.862591138530565,1118412.0025,0.8473234150605516,0.8196973752420043,1,1,-1000,-1000,Yes,5000
951,3489-hhpfy,female,0,yes,no,2,yes,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,84.05,134.05,0,1.5948839976204643,17969.402500000004,0.8940892168608581,0.8748274438778897,1,1,-1000,-1000,Yes,5000
952,5356-csvsq,female,0,no,no,3,yes,yes,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic_check,64.6,174.2,0,2.696594427244582,30345.639999999996,0.7050446367678597,0.6499095881199133,1,1,-1000,-1000,Yes,5000
953,0928-xutsn,female,0,no,no,13,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,80.5,1011.8,0,12.568944099378882,1023739.2399999999,0.8025942075873478,0.7709977348438021,1,1,-1000,-1000,Yes,5000
954,4732-rrjzc,male,0,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.25,144.35,0,7.128395061728395,20836.922499999997,0.04812839394235049,0.0605172577474326,0,0,5000,5000,Yes,5000
955,0325-xbfac,male,0,no,no,8,yes,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,94.7,740.3,1,7.817317845828933,548044.09,0.8689910201072122,0.8414058919283944,1,1,4000,4000,Yes,-5000
956,8679-joevf,female,1,no,no,16,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,no,electronic_check,59.4,1023.9,1,17.237373737373737,1048371.21,0.6673586856397575,0.5962783126969055,1,1,4000,4000,Yes,-5000
957,4750-zrxiu,female,1,no,no,4,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,84.6,360.1,1,4.256501182033097,129672.01000000001,0.919526744016483,0.903037454705379,1,1,4000,4000,Yes,-5000
958,3524-wqdsg,female,0,yes,yes,43,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),99.3,4209.95,0,42.39627391742195,17723679.002499998,0.7399834774204791,0.6818121226285809,1,1,-1000,-1000,Yes,5000
959,7577-swifr,male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.25,89.25,0,1.0,7965.5625,0.9093477147324933,0.8887019643839265,1,1,-1000,-1000,Yes,5000
960,6872-hxfnf,female,0,yes,no,64,yes,yes,dsl,no,no,yes,yes,no,no,one_year,no,bank_transfer_(automatic),58.35,3756.45,0,64.37789203084833,14110916.6025,0.009124068405078777,0.010790370441610068,0,0,5000,5000,Yes,5000
